City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
447,Bonoua,CI,83.82,light rain,5.2741,-3.595,Hotel Bon Samaritian
448,Kulhudhuffushi,MV,79.07,light rain,6.6221,73.07,Haajy Guest House 1
449,Puerto Colombia,CO,86.09,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
457,Savannah Bight,HN,79.92,clear sky,16.45,-85.85,Villa on Dunbar Rock
464,Samana,DO,85.96,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
469,Benguela,AO,76.57,clear sky,-12.5763,13.4055,Hotel Praia Morena
471,Garden City,US,85.3,scattered clouds,42.3256,-83.331,Big Trees Mobile Home Community
472,San Cristobal,VE,82.58,overcast clouds,7.7669,-72.225,Pirineos
475,Paka,MY,80.46,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
478,Conde,BR,83.66,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
482,Karratha,AU,75.09,clear sky,-20.7377,116.8463,ibis Styles Karratha
483,Broome,US,79.2,broken clouds,42.2506,-75.833,Chenango Valley State Park
486,Talara,PE,79.56,clear sky,-4.5772,-81.2719,Hostal Oro Negro
489,Bathsheba,BB,82.76,overcast clouds,13.2167,-59.5167,Atlantis Hotel
496,Subirana,HN,80.62,scattered clouds,15.2,-87.45,"HOTEL ""LA ESTRELLA"""
498,Ugoofaaru,MV,80.19,overcast clouds,5.6667,73.0,Ungoofaaru Inn
499,Guanica,PR,87.13,broken clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
500,Kalmunai,LK,79.75,overcast clouds,7.4167,81.8167,VS Villa
506,Bhatkal,IN,82.9,overcast clouds,13.9667,74.5667,Nilawar Palace
508,Piacabucu,BR,80.19,light rain,-10.4056,-36.4344,Piaçabuçu News
509,Santa Isabel Do Rio Negro,BR,87.67,overcast clouds,-0.4139,-65.0192,Hotel GSA
510,Bodinayakkanur,IN,77.47,overcast clouds,10.0167,77.35,M.V. Lodge
515,Kualakapuas,ID,77.38,light rain,-3.0091,114.3876,Guest House Izonk
527,Oranjestad,AW,80.56,overcast clouds,12.524,-70.027,Divi Village Golf & Beach Resort
528,La Carolina,ES,84.72,scattered clouds,38.2756,-3.6153,NH La Perdiz
529,Amahai,ID,78.89,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
530,Praya,CV,86.54,clear sky,14.9215,-23.5087,LT Aparthotel
532,Mantua,IT,83.08,clear sky,45.1667,10.7833,Hotel la Favorita
535,Progreso,MX,89.71,clear sky,21.2833,-89.6667,Playa Linda Hotel
537,Vannes,FR,75.81,overcast clouds,47.8333,-2.5,Le Bolloch Françoise
541,Hambantota,LK,78.35,overcast clouds,6.1241,81.1185,Bungalow 63
545,Guadalajara,MX,82.98,clear sky,20.6667,-103.3333,Hotel Aranzazú
546,Matamoros,MX,86.11,clear sky,25.5333,-103.25,Quinta Belem
548,Changji,CN,75.99,clear sky,44.0167,87.3167,Lvye Holiday Resort
549,Grand-Santi,GF,83.62,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
550,Amposta,ES,78.22,overcast clouds,40.7131,0.581,Hotel Hcc Montsià
552,Sibu,MY,75.61,broken clouds,2.3,111.8167,RH HOTEL (4 Star)
554,Samarai,PG,80.87,scattered clouds,-10.6167,150.6667,Nuli Sapi
559,La Tuque,CA,84.79,overcast clouds,47.4334,-72.7824,Appart-Hôtel La Tuque
563,Nettuno,IT,77.22,clear sky,41.4826,12.679,Astura Palace Hotel
564,Prokuplje,RS,76.28,broken clouds,43.2342,21.5881,Дом ученика средњих школа Прокупље
566,Lazaro Cardenas,MX,86.74,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
573,Barcelos,PT,76.68,broken clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
575,Uravakonda,IN,86.02,broken clouds,14.95,77.2667,Divya Lodge
578,Praia,CV,86.54,clear sky,14.9215,-23.5087,LT Aparthotel
579,Morehead,US,82.85,scattered clouds,37.2711,-87.1764,CCI Express Inn
581,Roma,US,81.95,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
582,Bay City,US,86.11,few clouds,43.5945,-83.8889,DoubleTree by Hilton Hotel Bay City - Riverfront
583,Banda Aceh,ID,81.36,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
584,Auki,SB,76.86,scattered clouds,-8.7676,160.7034,Auki Motel
586,Coari,BR,85.66,broken clouds,-4.085,-63.1414,Dellrey Hotel Center
587,Porto Novo,BJ,84.83,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
590,Alenquer,BR,84.96,broken clouds,-1.9417,-54.7383,Detinha Hotel
593,Kattivakkam,IN,85.06,overcast clouds,13.2167,80.3167,Euronova Freezer
596,Adeje,ES,76.01,overcast clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
598,Gat,IL,89.4,overcast clouds,31.61,34.7642,OlusHome
602,Mancora,PE,77.38,broken clouds,-4.1078,-81.0475,Máncora Marina Hotel
604,Catalao,BR,83.91,scattered clouds,-18.1658,-47.9464,Mara Turismo Hotel
605,Honiara,SB,77.14,few clouds,-9.4333,159.95,Heritage Park Hotel
606,Alta Floresta,BR,89.35,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
609,Troy,US,85.05,clear sky,42.6056,-83.1499,Embassy Suites by Hilton Detroit Troy Auburn Hills
611,Palmer,US,84.47,broken clouds,42.1584,-72.3287,Wedgewood Motel
614,Dahra,DZ,79.86,broken clouds,36.2546,0.8519,Ein Mtabol
615,Hurghada,EG,80.44,scattered clouds,27.2574,33.8129,Sea Star Beau Rivage Hotel
618,Abu Kamal,SY,85.44,broken clouds,34.4506,40.9171,البوكمال
620,Majene,ID,78.48,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
622,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
623,Saint-Francois,FR,76.44,clear sky,46.4154,3.9054,Manoir Du Bonheur
624,Wilmington,US,81.0,light rain,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
629,Takoradi,GH,82.58,light rain,4.8845,-1.7554,Raybow International Hotel
633,Grand Falls,CA,78.46,overcast clouds,47.0461,-67.7418,Hill Top Motel & Restaurant
645,Worthington,US,82.98,scattered clouds,40.0931,-83.018,Sheraton Suites Columbus Worthington
648,Santo Antonio Do Ica,BR,85.1,moderate rain,-3.1022,-67.9397,HOTEL AMAZON WAY
