City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
190,Lavrentiya,RU,65.5833,-171.0,27.34,93,52,6.2,broken clouds
191,Requena,ES,39.4883,-1.1004,64.53,46,26,4.54,scattered clouds
192,Waitati,NZ,-45.75,170.5667,47.8,85,100,1.5,overcast clouds
193,Provideniya,RU,64.3833,-173.3,33.58,95,89,4.59,overcast clouds
194,Tucuma,BR,-0.1833,-50.05,82.15,85,72,6.91,broken clouds
195,Ribeira Grande,PT,38.5167,-28.7,64.8,72,40,21.85,scattered clouds
196,Boa Vista,BR,2.8197,-60.6733,89.58,51,75,10.36,broken clouds
197,Tortoli,IT,39.9256,9.6572,70.25,57,2,1.59,clear sky
198,Doghs,AM,40.2237,44.2717,68.94,28,97,0.0,overcast clouds
199,Shelburne,CA,44.0787,-80.2041,78.3,57,2,8.41,clear sky
200,Champasak,LA,14.75,106.0,76.12,97,100,2.19,heavy intensity rain
201,Songea,TZ,-10.6833,35.65,60.55,80,64,2.48,broken clouds
202,Lewiston,US,44.1003,-70.2148,93.7,46,6,1.01,clear sky
203,Necochea,AR,-38.5473,-58.7368,57.13,49,0,16.04,clear sky
204,Krasnokamensk,RU,50.0979,118.0369,49.6,38,96,4.34,overcast clouds
205,Eyl,SO,7.9803,49.8164,83.5,76,84,25.19,broken clouds
206,Tahoua,NE,14.8888,5.2692,104.49,7,91,7.18,overcast clouds
207,Tiksi,RU,71.6872,128.8694,4.64,100,24,5.66,few clouds
208,Kholmogory,RU,64.2229,41.656,53.26,78,98,6.78,overcast clouds
209,Erenhot,CN,43.6475,111.9767,52.54,28,47,3.89,scattered clouds
210,Balikpapan,ID,-1.2675,116.8289,79.79,94,40,2.3,scattered clouds
211,Rosario Oeste,BR,-14.8361,-56.4275,94.51,31,12,3.4,few clouds
212,Havoysund,NO,70.9963,24.6622,39.43,87,83,8.61,broken clouds
213,Kurmanayevka,RU,52.5093,52.0675,54.46,77,100,7.99,overcast clouds
214,Kapoeta,SS,4.7717,33.5903,88.66,34,17,15.48,few clouds
215,Port Macquarie,AU,-31.4333,152.9167,64.89,92,86,7.29,overcast clouds
216,Tarakan,ID,3.3,117.6333,79.63,84,99,4.59,overcast clouds
217,Kungurtug,RU,50.5994,97.5228,43.61,42,12,0.96,few clouds
218,Ploufragan,FR,48.4914,-2.7946,64.04,79,0,5.75,clear sky
219,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,76,40,8.99,scattered clouds
220,Umm Kaddadah,SD,13.6017,26.6876,94.89,18,13,8.97,few clouds
221,Pacific Grove,US,36.6177,-121.9166,71.2,85,75,11.99,broken clouds
222,Lieksa,FI,63.3167,30.0167,47.91,59,32,1.32,scattered clouds
223,Nouakchott,MR,18.0858,-15.9785,89.74,37,92,5.55,overcast clouds
224,Itoman,JP,26.1247,127.6694,73.42,94,100,8.05,light rain
225,Sinnamary,GF,5.3833,-52.95,81.95,83,90,9.82,overcast clouds
