City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
283,Angren,UZ,2022-05-08 02:05:48,41.0167,70.1436,71.46,52,2,5.79
284,Richards Bay,ZA,2022-05-08 02:05:48,-28.783,32.0377,65.97,92,0,3.4
285,Kuching,MY,2022-05-08 02:05:49,1.55,110.3333,82.62,89,20,5.01
286,Codrington,AU,2022-05-08 02:05:49,-38.2667,141.9667,57.76,66,73,8.81
287,Umm Kaddadah,SD,2022-05-08 02:05:50,13.6017,26.6876,77.77,9,100,16.71
288,Atar,MR,2022-05-08 02:05:50,20.5169,-13.0499,86.59,12,14,6.76
289,Pundaguitan,PH,2022-05-08 02:05:51,6.3711,126.1689,82.33,79,56,13.11
290,Lata,PT,2022-05-08 02:05:52,40.1629,-8.3327,56.07,65,99,2.44
291,Wajir,KE,2022-05-08 02:05:52,1.7471,40.0573,75.16,84,86,11.86
292,Yellowknife,CA,2022-05-08 02:01:23,62.456,-114.3525,36.12,87,100,21.85
293,Jaypur,IN,2022-05-08 02:05:53,18.85,82.5833,84.13,51,88,2.77
